ID,Name,Owner,Repo URL,Languages URL,Description,Commits URL,Created At,Updated At,Open Issues,Languages
14531737,bips,bitcoin,https://api.github.com/repos/bitcoin/bips,https://api.github.com/repos/bitcoin/bips/languages,Bitcoin Improvement Proposals,https://api.github.com/repos/bitcoin/bips/commits,2013-11-19T17:18:41Z,2021-11-15T10:32:43Z,90,"('Wikitext', 1889286), ('Python', 37266), ('Go', 7265), ('Perl', 6153), ('TeX', 4545), ('Shell', 917)"
1181927,bitcoin,bitcoin,https://api.github.com/repos/bitcoin/bitcoin,https://api.github.com/repos/bitcoin/bitcoin/languages,Bitcoin Core integration/staging tree,https://api.github.com/repos/bitcoin/bitcoin/commits,2010-12-19T15:16:43Z,2021-11-15T13:38:00Z,1024,"('C++', 9224636), ('Python', 2597605), ('C', 1236767), ('M4', 257487), ('Shell', 210281), ('Makefile', 131570), ('Sage', 56850), ('CMake', 29132), ('Assembly', 28178), ('Scheme', 25953), ('HTML', 21833), ('Objective-C++', 5497), ('Dockerfile', 1721), (""Cap'n Proto"", 1256), ('Java', 695), ('QMake', 438)"
23354607,libbase58,bitcoin,https://api.github.com/repos/bitcoin/libbase58,https://api.github.com/repos/bitcoin/libbase58/languages,C library for Bitcoin's base58 encoding,https://api.github.com/repos/bitcoin/libbase58/commits,2014-08-26T14:29:13Z,2021-11-13T14:44:47Z,3,"('C', 7830), ('Shell', 1965), ('M4', 1255), ('Makefile', 1239)"
31981308,libblkmaker,bitcoin,https://api.github.com/repos/bitcoin/libblkmaker,https://api.github.com/repos/bitcoin/libblkmaker/languages,MIT-licensed C implementation of getblocktemplate,https://api.github.com/repos/bitcoin/libblkmaker/commits,2015-03-10T20:54:55Z,2021-11-14T18:14:15Z,10,"('C', 136641), ('Makefile', 2287), ('M4', 1680), ('Shell', 379)"
